ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-1_eye-1,1_eye,akis,ɐ kʲ ɪ s,V T V S,V C V C
lit-2_ear-1,2_ear,ausis,ɒʊˑ sʲ ɪ s,V S V S,V C V C
lit-3_nose-1,3_nose,nosis,n oː sʲ ɪ s,R V S V S,C V C V C
lit-4_mouth-1,4_mouth,burna,b ʊ r n ɑ,T V R R V,C V C C V
lit-5_tooth-1,5_tooth,dantis,d ɐ n tʲ ɪ s,T V R T V S,C V C C V C
lit-6_tongue-1,6_tongue,liežuvis,lˠ i ə ʒ ʊ ʋʲ ɪ s,R V V S V R V S,C V V C V C V C
lit-7_lip-1,7_lip,lūpa,lˠ uː p ɐ,R V T V,C V C V
lit-8_cheek-1,8_cheek,žandas,ʒ aˑ n d ɐ s,S V R T V S,C V C C V C
lit-8_cheek-2,8_cheek,skruostas,s k r u ə s t ɐ s,S T R V V S T V S,C C C V V C C V C
lit-9_face-1,9_face,veidas,ʋ æˑ j ɪ d ɐ s,R V R V T V S,C V C V C V C
lit-10_forehead-1,10_forehead,kakta,k ɐ k t ɑ,T V T T V,C V C C V
lit-11_hair-1,11_hair,plaukai,p lˠ ɒʊˑ k ɐɪˑ,T R V T V,C C V C V
lit-12_moustache-1,12_moustache,ūsai,uː s ɐɪˑ,V S V,V C V
lit-13_beard-1,13_beard,barzda,b ɐ r z d ɑ,T V R S T V,C V C C C V
lit-14_chin-1,14_chin,smakras,s m a k r ɐ s,S R V T R V S,C C V C C V C
lit-15_jaw-1,15_jaw,žandikaulis,ʒ ɐ n dʲ ɪ k ɒʊˑ lʲ ɪ s,S V R T V T V R V S,C V C C V C V C V C
lit-16_throat-1,16_throat,gerklė,g ɛ r k lˠ eː,T V R T R V,C V C C C V
lit-17_neck-1,17_neck,kaklas,k a k lˠ ɐ s,T V T R V S,C V C C V C
lit-18_nape-1,18_nape,sprandas,s p r aˑ n d ɐ s,S T R V R T V S,C C C V C C V C
lit-19_head-1,19_head,galva,g ɐ lˠ ʋ ɑ,T V R R V,C V C C V
lit-20_back-1,20_back,nugara,n ʊ g ɐ r ɐ,R V T V R V,C V C V C V
lit-21_belly-1,21_belly,pilvas,pʲ ɪ lˠˑ ʋ ɐ s,T V R R V S,C V C C V C
lit-22_navel-1,22_navel,bamba,b aˑ m b ɐ,T V R T V,C V C C V
lit-23_bosom-1,23_bosom,krūtinė,k r uː tʲ ɪ n eː,T R V T V R V,C C V C V C V
lit-24_breast-1,24_breast,krūtis,k r uː tʲ ɪ s,T R V T V S,C C V C V C
lit-25_shoulder-1,25_shoulder,petys,p ɛ t iː s,T V T V S,C V C V C
lit-26_arm-1,26_arm,ranka,r ɐ n k ɑ,R V R T V,C V C C V
lit-27_elbow-1,27_elbow,alkūnė,ɐ lˠ k uː n eː,V R T V R V,V C C V C V
lit-28_hand-1,28_hand,ranka,r ɐ n k ɑ,R V R T V,C V C C V
lit-28_hand-2,28_hand,plaštaka,p lˠ a ʃ t ɐ k ɐ,T R V S T V T V,C C V C C V C V
lit-29_palm-1,29_palm,delnas,d eˑ lˠ n ɐ s,T V R R V S,C V C C V C
lit-29_palm-2,29_palm,plaštaka,p lˠ a ʃ t ɐ k ɐ,T R V S T V T V,C C V C C V C V
lit-30_finger-1,30_finger,pirštas,pʲ ɪ rˑ ʃ t ɐ s,T V R S T V S,C V C C C V C
lit-31_fingernail-1,31_fingernail,nagas,n a g ɐ s,R V T V S,C V C V C
lit-32_nail-1,32_nail,nagas,n a g ɐ s,R V T V S,C V C V C
lit-33_toe-1,33_toe,pirštas,pʲ ɪ rˑ ʃ t ɐ s,T V R S T V S,C V C C C V C
lit-34_foot-1,34_foot,pėda,p eː d ɑ,T V T V,C V C V
